"","Ingreso","Limite","CalifCredit","Tarjetas","Edad","Educacion","Genero","Estudiante","Casado","Etnicidad","Balance"
"112",28.575,2959,231,2,60,11,"Femenino","No","0","Afrodescendiente",0
"113",46.007,6637,491,4,42,14,"Masculino","No","1","Caucasico",1046
"114",69.251,6386,474,4,30,12,"Femenino","No","1","Asiatico",768
"115",16.482,3326,268,4,41,15,"Masculino","No","0","Caucasico",271
"116",40.442,4828,369,5,81,8,"Femenino","No","0","Afrodescendiente",510
"117",35.177,2117,186,3,62,16,"Femenino","No","0","Caucasico",0
"118",91.362,9113,626,1,47,17,"Masculino","No","1","Asiatico",1341
"119",27.039,2161,173,3,40,17,"Femenino","No","0","Caucasico",0
"120",23.012,1410,137,3,81,16,"Masculino","No","0","Caucasico",0
"121",27.241,1402,128,2,67,15,"Femenino","No","1","Asiatico",0
"122",148.08,8157,599,2,83,13,"Masculino","No","1","Caucasico",454
"123",62.602,7056,481,1,84,11,"Femenino","No","0","Caucasico",904
"124",11.808,1300,117,3,77,14,"Femenino","No","0","Afrodescendiente",0
"125",29.564,2529,192,1,30,12,"Femenino","No","1","Caucasico",0
"126",27.578,2531,195,1,34,15,"Femenino","No","1","Caucasico",0
"127",26.427,5533,433,5,50,15,"Femenino","Si","1","Asiatico",1404
"128",57.202,3411,259,3,72,11,"Femenino","No","0","Caucasico",0
"129",123.299,8376,610,2,89,17,"Masculino","Si","0","Afrodescendiente",1259
"130",18.145,3461,279,3,56,15,"Masculino","No","1","Afrodescendiente",255
"131",23.793,3821,281,4,56,12,"Femenino","Si","1","Afrodescendiente",868
"132",10.726,1568,162,5,46,19,"Masculino","No","1","Asiatico",0
"133",23.283,5443,407,4,49,13,"Masculino","No","1","Afrodescendiente",912
"134",21.455,5829,427,4,80,12,"Femenino","No","1","Afrodescendiente",1018
"135",34.664,5835,452,3,77,15,"Femenino","No","1","Afrodescendiente",835
"136",44.473,3500,257,3,81,16,"Femenino","No","0","Afrodescendiente",8
"137",54.663,4116,314,2,70,8,"Femenino","No","0","Afrodescendiente",75
"138",36.355,3613,278,4,35,9,"Masculino","No","1","Asiatico",187
"139",21.374,2073,175,2,74,11,"Femenino","No","1","Caucasico",0
"140",107.841,10384,728,3,87,7,"Masculino","No","0","Afrodescendiente",1597
"141",39.831,6045,459,3,32,12,"Femenino","Si","1","Afrodescendiente",1425
"142",91.876,6754,483,2,33,10,"Masculino","No","1","Caucasico",605
"143",103.893,7416,549,3,84,17,"Masculino","No","0","Asiatico",669
"144",19.636,4896,387,3,64,10,"Femenino","No","0","Afrodescendiente",710
"145",17.392,2748,228,3,32,14,"Masculino","No","1","Caucasico",68
"146",19.529,4673,341,2,51,14,"Masculino","No","0","Asiatico",642
"147",17.055,5110,371,3,55,15,"Femenino","No","1","Caucasico",805
"148",23.857,1501,150,3,56,16,"Masculino","No","1","Caucasico",0
"149",15.184,2420,192,2,69,11,"Femenino","No","1","Caucasico",0
"150",13.444,886,121,5,44,10,"Masculino","No","1","Asiatico",0
"151",63.931,5728,435,3,28,14,"Femenino","No","1","Afrodescendiente",581
"152",35.864,4831,353,3,66,13,"Femenino","No","1","Caucasico",534
"153",41.419,2120,184,4,24,11,"Femenino","Si","0","Caucasico",156
"154",92.112,4612,344,3,32,17,"Masculino","No","0","Caucasico",0
"155",55.056,3155,235,2,31,16,"Masculino","No","1","Afrodescendiente",0
"156",19.537,1362,143,4,34,9,"Femenino","No","1","Asiatico",0
"157",31.811,4284,338,5,75,13,"Femenino","No","1","Caucasico",429
"158",56.256,5521,406,2,72,16,"Femenino","Si","1","Caucasico",1020
"159",42.357,5550,406,2,83,12,"Femenino","No","1","Asiatico",653
"160",53.319,3000,235,3,53,13,"Masculino","No","0","Asiatico",0
"161",12.238,4865,381,5,67,11,"Femenino","No","0","Caucasico",836
"162",31.353,1705,160,3,81,14,"Masculino","No","1","Caucasico",0
"163",63.809,7530,515,1,56,12,"Masculino","No","1","Caucasico",1086
"164",13.676,2330,203,5,80,16,"Femenino","No","0","Afrodescendiente",0
"165",76.782,5977,429,4,44,12,"Masculino","No","1","Asiatico",548
"166",25.383,4527,367,4,46,11,"Masculino","No","1","Caucasico",570
"167",35.691,2880,214,2,35,15,"Masculino","No","0","Afrodescendiente",0
"168",29.403,2327,178,1,37,14,"Femenino","No","1","Caucasico",0
"169",27.47,2820,219,1,32,11,"Femenino","No","1","Asiatico",0
"170",27.33,6179,459,4,36,12,"Femenino","No","1","Caucasico",1099
"171",34.772,2021,167,3,57,9,"Masculino","No","0","Asiatico",0
"172",36.934,4270,299,1,63,9,"Femenino","No","1","Caucasico",283
"173",76.348,4697,344,4,60,18,"Masculino","No","0","Asiatico",108
"174",14.887,4745,339,3,58,12,"Masculino","No","1","Afrodescendiente",724
"175",121.834,10673,750,3,54,16,"Masculino","No","0","Afrodescendiente",1573
"176",30.132,2168,206,3,52,17,"Masculino","No","0","Caucasico",0
"177",24.05,2607,221,4,32,18,"Masculino","No","1","Caucasico",0
"178",22.379,3965,292,2,34,14,"Femenino","No","1","Asiatico",384
"179",28.316,4391,316,2,29,10,"Femenino","No","0","Caucasico",453
"180",58.026,7499,560,5,67,11,"Femenino","No","0","Caucasico",1237
"181",10.635,3584,294,5,69,16,"Masculino","No","1","Asiatico",423
"182",46.102,5180,382,3,81,12,"Masculino","No","1","Afrodescendiente",516
"183",58.929,6420,459,2,66,9,"Femenino","No","1","Afrodescendiente",789
"184",80.861,4090,335,3,29,15,"Femenino","No","1","Asiatico",0
"185",158.889,11589,805,1,62,17,"Femenino","No","1","Caucasico",1448
"186",30.42,4442,316,1,30,14,"Femenino","No","0","Afrodescendiente",450
"187",36.472,3806,309,2,52,13,"Masculino","No","0","Afrodescendiente",188
"188",23.365,2179,167,2,75,15,"Masculino","No","0","Asiatico",0
"189",83.869,7667,554,2,83,11,"Masculino","No","0","Afrodescendiente",930
"190",58.351,4411,326,2,85,16,"Femenino","No","1","Caucasico",126
"191",55.187,5352,385,4,50,17,"Femenino","No","1","Caucasico",538
"192",124.29,9560,701,3,52,17,"Femenino","Si","0","Asiatico",1687
"193",28.508,3933,287,4,56,14,"Masculino","No","1","Asiatico",336
"194",130.209,10088,730,7,39,19,"Femenino","No","1","Caucasico",1426
"195",30.406,2120,181,2,79,14,"Masculino","No","1","Afrodescendiente",0
"196",23.883,5384,398,2,73,16,"Femenino","No","1","Afrodescendiente",802
"197",93.039,7398,517,1,67,12,"Masculino","No","1","Afrodescendiente",749
"198",50.699,3977,304,2,84,17,"Femenino","No","0","Afrodescendiente",69
"199",27.349,2000,169,4,51,16,"Femenino","No","1","Afrodescendiente",0
"200",10.403,4159,310,3,43,7,"Masculino","No","1","Asiatico",571
"201",23.949,5343,383,2,40,18,"Masculino","No","1","Afrodescendiente",829
"202",73.914,7333,529,6,67,15,"Femenino","No","1","Caucasico",1048
"203",21.038,1448,145,2,58,13,"Femenino","No","1","Caucasico",0
"204",68.206,6784,499,5,40,16,"Femenino","Si","0","Afrodescendiente",1411
"205",57.337,5310,392,2,45,7,"Femenino","No","0","Caucasico",456
"206",10.793,3878,321,8,29,13,"Masculino","No","0","Caucasico",638
"207",23.45,2450,180,2,78,13,"Masculino","No","0","Caucasico",0
"208",10.842,4391,358,5,37,10,"Femenino","Si","1","Caucasico",1216
"209",51.345,4327,320,3,46,15,"Masculino","No","0","Afrodescendiente",230
"210",151.947,9156,642,2,91,11,"Femenino","No","1","Afrodescendiente",732
"211",24.543,3206,243,2,62,12,"Femenino","No","1","Caucasico",95
"212",29.567,5309,397,3,25,15,"Masculino","No","0","Caucasico",799
"213",39.145,4351,323,2,66,13,"Masculino","No","1","Caucasico",308
"214",39.422,5245,383,2,44,19,"Masculino","No","0","Afrodescendiente",637
"215",34.909,5289,410,2,62,16,"Femenino","No","1","Caucasico",681
"216",41.025,4229,337,3,79,19,"Femenino","No","1","Caucasico",246
"217",15.476,2762,215,3,60,18,"Masculino","No","0","Asiatico",52
"218",12.456,5395,392,3,65,14,"Masculino","No","1","Caucasico",955
"219",10.627,1647,149,2,71,10,"Femenino","Si","1","Asiatico",195
"220",38.954,5222,370,4,76,13,"Femenino","No","0","Caucasico",653
"221",44.847,5765,437,3,53,13,"Femenino","Si","0","Asiatico",1246
"222",98.515,8760,633,5,78,11,"Femenino","No","0","Afrodescendiente",1230
"223",33.437,6207,451,4,44,9,"Masculino","Si","0","Caucasico",1549
"224",27.512,4613,344,5,72,17,"Masculino","No","1","Asiatico",573
"225",121.709,7818,584,4,50,6,"Masculino","No","1","Caucasico",701
"226",15.079,5673,411,4,28,15,"Femenino","No","1","Asiatico",1075
"227",59.879,6906,527,6,78,15,"Femenino","No","0","Caucasico",1032
"228",66.989,5614,430,3,47,14,"Femenino","No","1","Caucasico",482
"229",69.165,4668,341,2,34,11,"Femenino","No","0","Afrodescendiente",156
"230",69.943,7555,547,3,76,9,"Masculino","No","1","Asiatico",1058
"231",33.214,5137,387,3,59,9,"Masculino","No","0","Afrodescendiente",661
"232",25.124,4776,378,4,29,12,"Masculino","No","1","Caucasico",657
"233",15.741,4788,360,1,39,14,"Masculino","No","1","Asiatico",689
"234",11.603,2278,187,3,71,11,"Masculino","No","1","Caucasico",0
"235",69.656,8244,579,3,41,14,"Masculino","No","1","Afrodescendiente",1329
"236",10.503,2923,232,3,25,18,"Femenino","No","1","Afrodescendiente",191
"237",42.529,4986,369,2,37,11,"Masculino","No","1","Asiatico",489
"238",60.579,5149,388,5,38,15,"Masculino","No","1","Asiatico",443
"239",26.532,2910,236,6,58,19,"Femenino","No","1","Caucasico",52
"240",27.952,3557,263,1,35,13,"Femenino","No","1","Asiatico",163
"241",29.705,3351,262,5,71,14,"Femenino","No","1","Asiatico",148
"242",15.602,906,103,2,36,11,"Masculino","No","1","Afrodescendiente",0
"243",20.918,1233,128,3,47,18,"Femenino","Si","1","Asiatico",16
"244",58.165,6617,460,1,56,12,"Femenino","No","1","Caucasico",856
"245",22.561,1787,147,4,66,15,"Femenino","No","0","Caucasico",0
"246",34.509,2001,189,5,80,18,"Femenino","No","1","Afrodescendiente",0
"247",19.588,3211,265,4,59,14,"Femenino","No","0","Asiatico",199
"248",36.364,2220,188,3,50,19,"Masculino","No","0","Caucasico",0
"249",15.717,905,93,1,38,16,"Masculino","Si","1","Caucasico",0
"250",22.574,1551,134,3,43,13,"Femenino","Si","1","Caucasico",98
"251",10.363,2430,191,2,47,18,"Femenino","No","1","Asiatico",0
"252",28.474,3202,267,5,66,12,"Masculino","No","1","Caucasico",132
"253",72.945,8603,621,3,64,8,"Femenino","No","0","Caucasico",1355
"254",85.425,5182,402,6,60,12,"Masculino","No","1","Afrodescendiente",218
"255",36.508,6386,469,4,79,6,"Femenino","No","1","Caucasico",1048
"256",58.063,4221,304,3,50,8,"Masculino","No","0","Afrodescendiente",118
"257",25.936,1774,135,2,71,14,"Femenino","No","0","Asiatico",0
"258",15.629,2493,186,1,60,14,"Masculino","No","1","Asiatico",0
"259",41.4,2561,215,2,36,14,"Masculino","No","1","Caucasico",0
"260",33.657,6196,450,6,55,9,"Femenino","No","0","Caucasico",1092
"261",67.937,5184,383,4,63,12,"Masculino","No","1","Asiatico",345
"262",180.379,9310,665,3,67,8,"Femenino","Si","1","Asiatico",1050
"263",10.588,4049,296,1,66,13,"Femenino","No","1","Caucasico",465
"264",29.725,3536,270,2,52,15,"Femenino","No","0","Afrodescendiente",133
"265",27.999,5107,380,1,55,10,"Masculino","No","1","Caucasico",651
"266",40.885,5013,379,3,46,13,"Femenino","No","1","Afrodescendiente",549
"267",88.83,4952,360,4,86,16,"Femenino","No","1","Caucasico",15
"268",29.638,5833,433,3,29,15,"Femenino","No","1","Asiatico",942
"269",25.988,1349,142,4,82,12,"Masculino","No","0","Caucasico",0
"270",39.055,5565,410,4,48,18,"Femenino","No","1","Caucasico",772
"271",15.866,3085,217,1,39,13,"Masculino","No","0","Caucasico",136
"272",44.978,4866,347,1,30,10,"Femenino","No","0","Caucasico",436
"273",30.413,3690,299,2,25,15,"Femenino","Si","0","Asiatico",728
"274",16.751,4706,353,6,48,14,"Masculino","Si","0","Asiatico",1255
"275",30.55,5869,439,5,81,9,"Femenino","No","0","Afrodescendiente",967
"276",163.329,8732,636,3,50,14,"Masculino","No","1","Caucasico",529
"277",23.106,3476,257,2,50,15,"Femenino","No","0","Caucasico",209
"278",41.532,5000,353,2,50,12,"Masculino","No","1","Caucasico",531
"279",128.04,6982,518,2,78,11,"Femenino","No","1","Caucasico",250
"280",54.319,3063,248,3,59,8,"Femenino","Si","0","Caucasico",269
"281",53.401,5319,377,3,35,12,"Femenino","No","0","Afrodescendiente",541
"282",36.142,1852,183,3,33,13,"Femenino","No","0","Afrodescendiente",0
"283",63.534,8100,581,2,50,17,"Femenino","No","1","Caucasico",1298
"284",49.927,6396,485,3,75,17,"Femenino","No","1","Caucasico",890
"285",14.711,2047,167,2,67,6,"Masculino","No","1","Caucasico",0
"286",18.967,1626,156,2,41,11,"Femenino","No","1","Asiatico",0
"287",18.036,1552,142,2,48,15,"Femenino","No","0","Caucasico",0
"288",60.449,3098,272,4,69,8,"Masculino","No","1","Caucasico",0
"289",16.711,5274,387,3,42,16,"Femenino","No","1","Asiatico",863
"290",10.852,3907,296,2,30,9,"Masculino","No","0","Caucasico",485
"291",26.37,3235,268,5,78,11,"Masculino","No","1","Asiatico",159
"292",24.088,3665,287,4,56,13,"Femenino","No","1","Caucasico",309
"293",51.532,5096,380,2,31,15,"Masculino","No","1","Caucasico",481
"294",140.672,11200,817,7,46,9,"Masculino","No","1","Afrodescendiente",1677
"295",42.915,2532,205,4,42,13,"Masculino","No","1","Asiatico",0
"296",27.272,1389,149,5,67,10,"Femenino","No","1","Caucasico",0
"297",65.896,5140,370,1,49,17,"Femenino","No","1","Caucasico",293
"298",55.054,4381,321,3,74,17,"Masculino","No","1","Asiatico",188
"299",20.791,2672,204,1,70,18,"Femenino","No","0","Afrodescendiente",0
"300",24.919,5051,372,3,76,11,"Femenino","No","1","Afrodescendiente",711
"301",21.786,4632,355,1,50,17,"Masculino","No","1","Caucasico",580
"302",31.335,3526,289,3,38,7,"Femenino","No","0","Caucasico",172
"303",59.855,4964,365,1,46,13,"Femenino","No","1","Caucasico",295
"304",44.061,4970,352,1,79,11,"Masculino","No","1","Afrodescendiente",414
"305",82.706,7506,536,2,64,13,"Femenino","No","1","Asiatico",905
"306",24.46,1924,165,2,50,14,"Femenino","No","1","Asiatico",0
"307",45.12,3762,287,3,80,8,"Masculino","No","1","Caucasico",70
"308",75.406,3874,298,3,41,14,"Femenino","No","1","Asiatico",0
"309",14.956,4640,332,2,33,6,"Masculino","No","0","Asiatico",681
"310",75.257,7010,494,3,34,18,"Femenino","No","1","Caucasico",885
"311",33.694,4891,369,1,52,16,"Masculino","Si","0","Afrodescendiente",1036
"312",23.375,5429,396,3,57,15,"Femenino","No","1","Caucasico",844
"313",27.825,5227,386,6,63,11,"Masculino","No","1","Caucasico",823
"314",92.386,7685,534,2,75,18,"Femenino","No","1","Asiatico",843
"315",115.52,9272,656,2,69,14,"Masculino","No","0","Afrodescendiente",1140
"316",14.479,3907,296,3,43,16,"Masculino","No","1","Caucasico",463
"317",52.179,7306,522,2,57,14,"Masculino","No","0","Asiatico",1142
"318",68.462,4712,340,2,71,16,"Masculino","No","1","Caucasico",136
"319",18.951,1485,129,3,82,13,"Femenino","No","0","Caucasico",0
"320",27.59,2586,229,5,54,16,"Masculino","No","1","Afrodescendiente",0
"321",16.279,1160,126,3,78,13,"Masculino","Si","1","Afrodescendiente",5
"322",25.078,3096,236,2,27,15,"Femenino","No","1","Caucasico",81
"323",27.229,3484,282,6,51,11,"Masculino","No","0","Caucasico",265
"324",182.728,13913,982,4,98,17,"Masculino","No","1","Caucasico",1999
"325",31.029,2863,223,2,66,17,"Masculino","Si","1","Asiatico",415
"326",17.765,5072,364,1,66,12,"Femenino","No","1","Caucasico",732
"327",125.48,10230,721,3,82,16,"Masculino","No","1","Caucasico",1361
"328",49.166,6662,508,3,68,14,"Femenino","No","0","Asiatico",984
"329",41.192,3673,297,3,54,16,"Femenino","No","1","Caucasico",121
"330",94.193,7576,527,2,44,16,"Femenino","No","1","Caucasico",846
"331",20.405,4543,329,2,72,17,"Masculino","Si","0","Asiatico",1054
"332",12.581,3976,291,2,48,16,"Masculino","No","1","Caucasico",474
"333",62.328,5228,377,3,83,15,"Masculino","No","0","Caucasico",380
"334",21.011,3402,261,2,68,17,"Masculino","No","1","Afrodescendiente",182
"335",24.23,4756,351,2,64,15,"Femenino","No","1","Caucasico",594
"336",24.314,3409,270,2,23,7,"Femenino","No","1","Caucasico",194
"337",32.856,5884,438,4,68,13,"Masculino","No","0","Caucasico",926
"338",12.414,855,119,3,32,12,"Masculino","No","1","Afrodescendiente",0
"339",41.365,5303,377,1,45,14,"Masculino","No","0","Caucasico",606
"340",149.316,10278,707,1,80,16,"Masculino","No","0","Afrodescendiente",1107
"341",27.794,3807,301,4,35,8,"Femenino","No","1","Afrodescendiente",320
"342",13.234,3922,299,2,77,17,"Femenino","No","1","Caucasico",426
"343",14.595,2955,260,5,37,9,"Masculino","No","1","Afrodescendiente",204
"344",10.735,3746,280,2,44,17,"Femenino","No","1","Caucasico",410
"345",48.218,5199,401,7,39,10,"Masculino","No","1","Asiatico",633
"346",30.012,1511,137,2,33,17,"Masculino","No","1","Caucasico",0
"347",21.551,5380,420,5,51,18,"Masculino","No","1","Asiatico",907
"348",160.231,10748,754,2,69,17,"Masculino","No","0","Caucasico",1192
"349",13.433,1134,112,3,70,14,"Masculino","No","1","Caucasico",0
"350",48.577,5145,389,3,71,13,"Femenino","No","1","Asiatico",503
"351",30.002,1561,155,4,70,13,"Femenino","No","1","Caucasico",0
"352",61.62,5140,374,1,71,9,"Masculino","No","1","Caucasico",302
"353",104.483,7140,507,2,41,14,"Masculino","No","1","Afrodescendiente",583
"354",41.868,4716,342,2,47,18,"Masculino","No","0","Caucasico",425
"355",12.068,3873,292,1,44,18,"Femenino","No","1","Asiatico",413
"356",180.682,11966,832,2,58,8,"Femenino","No","1","Afrodescendiente",1405
"357",34.48,6090,442,3,36,14,"Masculino","No","0","Caucasico",962
"358",39.609,2539,188,1,40,14,"Masculino","No","1","Asiatico",0
"359",30.111,4336,339,1,81,18,"Masculino","No","1","Caucasico",347
"360",12.335,4471,344,3,79,12,"Masculino","No","1","Afrodescendiente",611
"361",53.566,5891,434,4,82,10,"Femenino","No","0","Caucasico",712
"362",53.217,4943,362,2,46,16,"Femenino","No","1","Asiatico",382
"363",26.162,5101,382,3,62,19,"Femenino","No","0","Afrodescendiente",710
"364",64.173,6127,433,1,80,10,"Masculino","No","1","Caucasico",578
"365",128.669,9824,685,3,67,16,"Masculino","No","1","Asiatico",1243
"366",113.772,6442,489,4,69,15,"Masculino","Si","1","Caucasico",790
"367",61.069,7871,564,3,56,14,"Masculino","No","1","Caucasico",1264
"368",23.793,3615,263,2,70,14,"Masculino","No","0","Afrodescendiente",216
"369",89,5759,440,3,37,6,"Femenino","No","0","Caucasico",345
"370",71.682,8028,599,3,57,16,"Masculino","No","1","Caucasico",1208
"371",35.61,6135,466,4,40,12,"Masculino","No","0","Caucasico",992
"372",39.116,2150,173,4,75,15,"Masculino","No","0","Caucasico",0
"373",19.782,3782,293,2,46,16,"Femenino","Si","0","Caucasico",840
"374",55.412,5354,383,2,37,16,"Femenino","Si","1","Caucasico",1003
"375",29.4,4840,368,3,76,18,"Femenino","No","1","Caucasico",588
